ok;_detail_msg;max_rhat;min_bulk;min_tail;rate_bulk;rate_tail;rate_warn;n_divergences;rate;min_bfmi
20260730_090325_7dbfcbbb;True;;1.0;2859.0;2410.0;0.595625;0.5020833333333333;False;0;0.0;0.8991704634264455
20260730_090923_319bf085;True;;1.0;2201.0;2187.0;0.4585416666666667;0.455625;False;0;0.0;0.8674751881580302
20260730_092049_5a1bc66a;True;;1.0;2790.0;2514.0;0.58125;0.52375;False;0;0.0;0.9415883187498768
20260730_092819_2d56252f;True;;1.0;2696.0;2341.0;0.5616666666666666;0.48770833333333335;False;0;0.0;0.9044802600732664
20260730_095042_f69de62d;True;;1.0;2997.0;2443.0;0.624375;0.5089583333333333;False;0;0.0;0.8821530422138494
20260730_100837_0c0b57d0;True;;1.0;2667.0;2137.0;0.555625;0.4452083333333333;False;0;0.0;0.8445063013067122
20260730_115432_bb8a59f0;True;;1.0;2938.0;2336.0;0.6120833333333333;0.4866666666666667;False;0;0.0;0.8700635330397011
20260730_120341_374446e6;True;;1.0;2694.0;2501.0;0.56125;0.5210416666666666;False;0;0.0;0.881100634796922
20260730_121836_ae4a9d15;True;;1.0;2873.0;2636.0;0.5985416666666666;0.5491666666666667;False;0;0.0;0.9020068752706278
20260730_122954_52576db4;True;;1.0;2315.0;2172.0;0.4822916666666667;0.4525;False;0;0.0;0.9116155437556298
20260730_141958_ab63bcb2;True;;1.0;2743.0;2191.0;0.5714583333333333;0.45645833333333335;False;0;0.0;0.8560506939691321
20260730_153819_073ec380;True;;1.0;2706.0;2473.0;0.56375;0.5152083333333334;False;0;0.0;0.8699188114543926
20260730_154523_b0ead272;True;;1.0;2886.0;2306.0;0.60125;0.48041666666666666;False;0;0.0;0.8994064664345451
