date;ca;display;offline;sea;social;tv;video_&_audio;cataloguebal;crm;presse;radio;public_holidays;school_holidays;temperature
2024-01-01;8266342.37;0.0;0.0;14547.63;374.09;0.0;0.0;0.0;3431.25;0.0;0.0;1;1.0;7.112535014005602
2024-01-08;5921789.61;0.0;0.0;10910.43;299.56;0.0;0.0;0.0;34250.61;0.0;0.0;0;0.0;4.017229391756703
2024-01-15;5789965.4;0.0;0.0;16633.13;3701.51;0.0;0.0;0.0;1570.28;0.0;0.0;0;0.0;4.767889655862346
2024-01-22;6613415.92;0.0;5500.0;20557.59;9752.810000000001;0.0;0.0;0.0;2032.76;0.0;0.0;0;0.0;7.756520108043218
2024-01-29;7790744.65;0.0;0.0;22971.42;9408.119999999999;0.0;0.0;0.0;1205.57;0.0;0.0;0;0.0;9.094615346138456
2024-02-05;7563861.14;0.0;0.0;15225.59;45.64;0.0;0.0;0.0;48591.950000000004;0.0;0.0;0;0.0;9.501355542216887
2024-02-12;9925205.75;0.0;0.0;13281.11;280.46;0.0;0.0;0.0;10692.83;0.0;0.0;0;0.3333333333333333;10.068524909963985
2024-02-19;8442118.2;0.0;7127.0;13923.81;6461.9;0.0;0.0;0.0;4037.49;0.0;0.0;0;0.6666666666666666;9.251968287314925
2024-02-26;13812131.98;25000.0;1000.0;16977.2;39376.67;0.0;14797.689999999999;0.0;57024.62;0.0;121179.29000000001;0;0.6666666666666666;8.12719587835134
2024-03-04;15781708.43;0.0;0.0;20936.96;7298.56;0.0;18918.25;0.0;193110.44;0.0;126151.89;0;0.3333333333333333;8.679799419767907
2024-03-11;13148902.74;0.0;0.0;32950.93;9628.9;0.0;0.0;0.0;3623.6000000000004;0.0;0.0;0;0.0;10.925027511004402
2024-03-18;17053776.22;0.0;0.0;39237.17;8809.47;0.0;0.0;0.0;24547.0;0.0;0.0;0;0.0;11.595818327330932
2024-03-25;13938779.83;0.0;9300.0;35669.32;23289.84;0.0;0.0;156751.0;3404.7;0.0;0.0;0;0.0;11.12768357342937
2024-04-01;17720323.32;0.0;0.0;38711.9;30048.629999999997;0.0;0.0;0.0;3315.89;0.0;0.0;1;0.0;12.924489795918367
2024-04-08;20326019.59;0.0;0.0;41148.95;9486.46;0.0;0.0;0.0;44258.71;0.0;0.0;0;0.3333333333333333;13.747411464585834
