date,CA
2024-01-01,8266342.37
2024-01-08,5921789.61
2024-01-15,5789965.4
2024-01-22,6613415.92
2024-01-29,7790744.65
2024-02-05,7563861.14
2024-02-12,9925205.75
2024-02-19,8442118.2
2024-02-26,13812131.98
2024-03-04,15781708.43
2024-03-11,13148902.74
2024-03-18,17053776.22
2024-03-25,13938779.83
2024-04-01,17720323.32
2024-04-08,20326019.59
2024-04-15,16329638.0
2024-04-22,16270039.52
2024-04-29,18919068.67
2024-05-06,24029562.91
2024-05-13,18081092.08
2024-05-20,21333329.64
2024-05-27,15293479.23
2024-06-03,19045960.27
2024-06-10,12956153.07
2024-06-17,10880688.57
2024-06-24,11920096.62
2024-07-01,11634435.62
2024-07-08,10137620.54
2024-07-15,9672905.57
2024-07-22,8899191.77
2024-07-29,8645793.33
2024-08-05,8747741.04
2024-08-12,8566387.63
2024-08-19,8487360.45
2024-08-26,8395405.92
2024-09-02,8115845.36
2024-09-09,7989602.92
2024-09-16,7500277.45
2024-09-23,8621231.98
2024-09-30,8022605.57
2024-10-07,8028111.62
2024-10-14,7730461.76
2024-10-21,9866542.5
2024-10-28,12599056.59
2024-11-04,10993654.4
2024-11-11,9424598.03
2024-11-18,7854938.04
2024-11-25,11446831.44
2024-12-02,12367060.66
2024-12-09,9763509.89
2024-12-16,9825010.71
2024-12-23,7773477.78
2024-12-30,7032603.42
2025-01-06,6177499.6
2025-01-13,5810336.42
2025-01-20,7197764.73
2025-01-27,6585638.77
2025-02-03,6716929.34
2025-02-10,8119505.33
2025-02-17,9184098.97
2025-02-24,14051384.7
2025-03-03,14213273.75
2025-03-10,11614767.68
2025-03-17,13663943.87
2025-03-24,21467501.37
2025-03-31,19773455.56
2025-04-07,20246241.52
2025-04-14,16532737.4
2025-04-21,18071406.58
2025-04-28,23659295.96
2025-05-05,22209457.88
2025-05-12,20102697.07
2025-05-19,19147476.53
2025-05-26,16020564.04
2025-06-02,14850732.09
2025-06-09,13116904.06
2025-06-16,9450401.52
2025-06-23,9844527.02
2025-06-30,9893297.76
2025-07-07,9452753.45
2025-07-14,8485912.17
2025-07-21,8080599.02
2025-07-28,8850144.03
2025-08-04,8572372.5
2025-08-11,7352490.69
2025-08-18,7870699.18
2025-08-25,8064806.84
2025-09-01,7695347.27
2025-09-08,7228108.54
2025-09-15,6909559.09
2025-09-22,8309880.06
2025-09-29,9401648.52
2025-10-06,8098016.96
2025-10-13,8257083.52
2025-10-20,8747813.49
2025-10-27,11573388.68
2025-11-03,10423601.53
2025-11-10,9218106.69
2025-11-17,7675263.32
2025-11-24,10578449.29
2025-12-01,12132829.13
2025-12-08,9748936.28
2025-12-15,9456164.94
2025-12-22,8052451.97
2025-12-29,6578514.31
2026-01-05,6633364.34
2026-01-12,5893234.23
2026-01-19,5840196.64
2026-01-26,6747466.7
2026-02-02,6837989.02
2026-02-09,6944594.49
2026-02-16,7676351.61
2026-02-23,16359708.16
2026-03-02,14583472.55
2026-03-09,13837439.02
2026-03-16,16005052.94
2026-03-23,18688809.16
2026-03-30,14249984.88
2026-04-06,19214958.64
