media,scope,date,digital_lever,supplier,support,budget,CA
SEA,national,2024-01-01,SEA,GOOGLE,GOOGLE,14547.63,8266342.37
CRM,national,2024-01-01,,,SMS,1656.67,8266342.37
Social,national,2024-01-01,SOCIAL,META,,374.09,8266342.37
CRM,national,2024-01-01,,,EMAIL,1774.58,8266342.37
CRM,national,2024-01-08,,,SMS,32081.87,5921789.61
Social,national,2024-01-08,SOCIAL,META,,299.56,5921789.61
SEA,national,2024-01-08,SEA,GOOGLE,GOOGLE,10910.43,5921789.61
CRM,national,2024-01-08,,,EMAIL,2168.74,5921789.61
Social,national,2024-01-15,SOCIAL,META,,668.11,5789965.4
Social,national,2024-01-15,SOCIAL,META,FACEBOOK ET INSTAGRAM,3033.4,5789965.4
CRM,national,2024-01-15,,,EMAIL,973.51,5789965.4
CRM,national,2024-01-15,,,SMS,596.77,5789965.4
SEA,national,2024-01-15,SEA,GOOGLE,GOOGLE,16633.13,5789965.4
E-CATALOG,national,2024-01-22,E-CATALOG,BONIAL,BONIAL,5500.0,6613415.92
Social,national,2024-01-22,SOCIAL,META,,904.52,6613415.92
CRM,national,2024-01-22,,,EMAIL,1917.56,6613415.92
CRM,national,2024-01-22,,,SMS,115.2,6613415.92
Social,national,2024-01-22,SOCIAL,META,FACEBOOK ET INSTAGRAM,8848.29,6613415.92
SEA,national,2024-01-22,SEA,GOOGLE,GOOGLE,20557.59,6613415.92
Social,national,2024-01-29,SOCIAL,META,FACEBOOK ET INSTAGRAM,8443.81,7790744.65
SEA,national,2024-01-29,SEA,GOOGLE,GOOGLE,22971.42,7790744.65
CRM,national,2024-01-29,,,EMAIL,1205.57,7790744.65
Social,national,2024-01-29,SOCIAL,META,,964.31,7790744.65
SEA,national,2024-02-05,SEA,GOOGLE,GOOGLE,15225.59,7563861.14
CRM,national,2024-02-05,,,SMS,46324.94,7563861.14
CRM,national,2024-02-05,,,EMAIL,2267.01,7563861.14
Social,national,2024-02-05,SOCIAL,META,,45.64,7563861.14
CRM,national,2024-02-12,,,SMS,9736.58,9925205.75
CRM,national,2024-02-12,,,EMAIL,956.25,9925205.75
Social,national,2024-02-12,SOCIAL,META,,280.46,9925205.75
SEA,national,2024-02-12,SEA,GOOGLE,GOOGLE,13281.11,9925205.75
CRM,national,2024-02-19,,,SMS,851.8,8442118.2
SEA,national,2024-02-19,SEA,GOOGLE,GOOGLE,13923.81,8442118.2
CRM,national,2024-02-19,,,EMAIL,3185.69,8442118.2
Social,national,2024-02-19,SOCIAL,META,,6461.9,8442118.2
E-CATALOG,national,2024-02-19,E-CATALOG,BONIAL,BONIAL,7127.0,8442118.2
Radio,national,2024-02-26,,NEXT MEDIA SOLUTIONS,RMC,16107.05,13812131.98
Radio,national,2024-02-26,,LAGARDERE PUBLICITE NEWS,EUROPE 2,3565.65,13812131.98
Radio,national,2024-02-26,,LAGARDERE PUBLICITE NEWS,RFM,7010.64,13812131.98
Radio,national,2024-02-26,,M6 PUBLICITE,FUN RADIO,7539.18,13812131.98
Audio,national,2024-02-26,AUDIO,PHOENIX,PHOENIX,6430.19,13812131.98
E-CATALOG,national,2024-02-26,E-CATALOG,BONIAL,BONIAL,1000.0,13812131.98
Radio,national,2024-02-26,,LAGARDERE PUBLICITE NEWS,EUROPE 1,4837.75,13812131.98
Radio,national,2024-02-26,,NRJ GLOBAL,RIRE ET CHANSONS,3703.87,13812131.98
Radio,national,2024-02-26,,TF1 PUBLICITE,LES INDES RADIO,26797.07,13812131.98
Social,national,2024-02-26,SOCIAL,META,,39376.67,13812131.98
Radio,national,2024-02-26,,M6 PUBLICITE,RTL2,7520.92,13812131.98
Audio,national,2024-02-26,AUDIO,PHOENIX,NRJ,1545.65,13812131.98
Radio,national,2024-02-26,,M6 PUBLICITE,M RADIO,1729.35,13812131.98
Display,national,2024-02-26,DISPLAY,VEEPEE,VEEPEE,25000.0,13812131.98
Radio,national,2024-02-26,,NRJ GLOBAL,CHERIE FM NATIONALE,6173.44,13812131.98
CRM,national,2024-02-26,,,EMAIL,2320.65,13812131.98
SEA,national,2024-02-26,SEA,GOOGLE,GOOGLE,16977.2,13812131.98
Radio,national,2024-02-26,,M6 PUBLICITE,RTL,21918.77,13812131.98
Audio,national,2024-02-26,AUDIO,PHOENIX,SPOTIFY,4835.18,13812131.98
Radio,national,2024-02-26,,NRJ GLOBAL,NOSTALGIE - LOCALE,14275.6,13812131.98
Audio,national,2024-02-26,AUDIO,PHOENIX,M6,1986.67,13812131.98
CRM,national,2024-02-26,,,SMS,54703.97,13812131.98
Audio,national,2024-03-04,AUDIO,PHOENIX,LAGARDÈRE,1526.85,15781708.43
Radio,national,2024-03-04,,NRJ GLOBAL,NOSTALGIE - LOCALE,14479.17,15781708.43
Radio,national,2024-03-04,,TF1 PUBLICITE,LES INDES RADIO,30350.13,15781708.43
CRM,national,2024-03-04,,,SMS,47043.91,15781708.43
SEA,national,2024-03-04,SEA,GOOGLE,GOOGLE,20936.96,15781708.43
Social,national,2024-03-04,SOCIAL,META,,7298.56,15781708.43
CRM,national,2024-03-04,,,COURRIER,142000.0,15781708.43
Radio,national,2024-03-04,,NEXT MEDIA SOLUTIONS,RMC,15994.83,15781708.43
Radio,national,2024-03-04,,M6 PUBLICITE,RTL2,7273.53,15781708.43
Audio,national,2024-03-04,AUDIO,PHOENIX,LES INDÉS,4669.08,15781708.43
Audio,national,2024-03-04,AUDIO,PHOENIX,NRJ,4197.77,15781708.43
Audio,national,2024-03-04,AUDIO,PHOENIX,M6,4478.01,15781708.43
Radio,national,2024-03-04,,LAGARDERE PUBLICITE NEWS,EUROPE 1,4708.64,15781708.43
CRM,national,2024-03-04,,,EMAIL,4066.53,15781708.43
Radio,national,2024-03-04,,M6 PUBLICITE,FUN RADIO,7173.43,15781708.43
Radio,national,2024-03-04,,M6 PUBLICITE,RTL,23951.74,15781708.43
Radio,national,2024-03-04,,NRJ GLOBAL,RIRE ET CHANSONS,3550.56,15781708.43
Radio,national,2024-03-04,,M6 PUBLICITE,M RADIO,1650.69,15781708.43
Radio,national,2024-03-04,,LAGARDERE PUBLICITE NEWS,RFM,7258.38,15781708.43
Radio,national,2024-03-04,,NRJ GLOBAL,CHERIE FM NATIONALE,6221.29,15781708.43
Audio,national,2024-03-04,AUDIO,PHOENIX,RMC,4046.54,15781708.43
Radio,national,2024-03-04,,LAGARDERE PUBLICITE NEWS,EUROPE 2,3539.5,15781708.43
SEA,national,2024-03-11,SEA,GOOGLE,GOOGLE,32950.93,13148902.74
CRM,national,2024-03-11,,,SMS,1183.41,13148902.74
Social,national,2024-03-11,SOCIAL,META,,9628.9,13148902.74
CRM,national,2024-03-11,,,EMAIL,2440.19,13148902.74
Social,national,2024-03-18,SOCIAL,META,,8809.47,17053776.22
CRM,national,2024-03-18,,,EMAIL,3233.82,17053776.22
CRM,national,2024-03-18,,,SMS,21313.18,17053776.22
SEA,national,2024-03-18,SEA,GOOGLE,GOOGLE,39237.17,17053776.22
Cataloguebal,national,2024-03-25,,,,156751.0,13938779.83
CRM,national,2024-03-25,,,SMS,2322.34,13938779.83
SEA,national,2024-03-25,SEA,GOOGLE,GOOGLE,35669.32,13938779.83
Social,national,2024-03-25,SOCIAL,META,,9595.89,13938779.83
CRM,national,2024-03-25,,,EMAIL,1082.36,13938779.83
Social,national,2024-03-25,SOCIAL,META,FACEBOOK ET INSTAGRAM,13693.95,13938779.83
E-CATALOG,national,2024-03-25,E-CATALOG,BONIAL,BONIAL,9300.0,13938779.83
SEA,national,2024-04-01,SEA,GOOGLE,GOOGLE,38711.9,17720323.32
Social,national,2024-04-01,SOCIAL,META,FACEBOOK ET INSTAGRAM,20005.67,17720323.32
CRM,national,2024-04-01,,,EMAIL,3315.89,17720323.32
Social,national,2024-04-01,SOCIAL,META,,10042.96,17720323.32
CRM,national,2024-04-08,,,SMS,43258.08,20326019.59
SEA,national,2024-04-08,SEA,GOOGLE,GOOGLE,41148.95,20326019.59
CRM,national,2024-04-08,,,EMAIL,1000.63,20326019.59
Social,national,2024-04-08,SOCIAL,META,,9486.46,20326019.59
